Industry,Company Size,Digital Tools Adopted,Year of Adoption,Impact on Revenue (%),Impact on Efficiency (%),Digital Skills Training,Customer Engagement Change (%),Geographic Region
Energy,Large,"['Digital Twins', 'Blockchain', 'CRM']",2021,16.07,8.93,Yes,21.7,North America
Education,Medium,"['AI', 'CRM', 'ERP', 'Cloud Computing']",2016,25.58,8.41,Yes,22.55,North America
Manufacturing,Large,['IoT'],2018,27.59,6.41,No,29.69,North America
Transportation,Medium,"['Blockchain', 'CRM', 'Big Data Analytics', 'ERP']",2020,12.56,14.29,Yes,23.54,Europe
Education,Medium,"['CRM', 'ERP']",2016,10.27,12.75,No,19.44,Africa
Manufacturing,Medium,"['Digital Twins', 'ERP']",2016,24.12,9.23,Yes,13.73,North America
Energy,Medium,"['CRM', 'IoT', 'ERP', 'Digital Twins']",2020,23.5,11.53,Yes,21.39,Asia-Pacific
Manufacturing,Medium,"['ERP', 'CRM', 'Digital Twins']",2016,28.84,23.68,Yes,30.55,Europe
Transportation,Medium,"['Digital Twins', 'CRM']",2023,10.85,9.13,Yes,21.71,Asia-Pacific
Retail,Small,"['Blockchain', 'ERP', 'AI', 'IoT']",2015,25.21,12.66,No,31.49,Asia-Pacific
Healthcare,Large,"['Digital Twins', 'CRM', 'Blockchain', 'ERP']",2016,7.3,14.96,No,28.69,Europe
Manufacturing,Medium,"['ERP', 'Blockchain', 'CRM']",2017,17.02,5.22,No,17.61,Asia-Pacific
Healthcare,Small,['ERP'],2015,26.87,24.35,No,15.51,Europe
Manufacturing,Medium,"['Blockchain', 'CRM', 'Digital Twins', 'Cloud Computing']",2019,12.95,8.39,No,27.65,Middle East
Energy,Small,"['IoT', 'Blockchain', 'Big Data Analytics', 'Digital Twins']",2019,24.31,7.67,Yes,24.51,North America
Education,Large,"['Cloud Computing', 'Digital Twins', 'ERP', 'AI']",2018,23.01,23.8,Yes,33.21,Europe
Retail,Large,"['Blockchain', 'Big Data Analytics', 'IoT', 'Digital Twins']",2015,13.5,5.12,No,33.55,South America
Retail,Medium,"['CRM', 'Cloud Computing', 'IoT', 'AI']",2023,28.66,21.8,Yes,10.62,Europe
Healthcare,Large,"['AI', 'Cloud Computing', 'Big Data Analytics']",2016,19.43,13.47,No,33.74,Africa
Manufacturing,Small,"['IoT', 'ERP']",2022,24.72,17.12,Yes,5.77,South America
Finance,Large,"['ERP', 'Blockchain']",2022,24.74,22.06,Yes,10.2,Middle East
Transportation,Small,"['IoT', 'Cloud Computing', 'Blockchain', 'Big Data Analytics']",2015,15.06,19.22,Yes,30.71,Middle East
Healthcare,Medium,"['IoT', 'ERP', 'CRM']",2020,27.35,7.91,Yes,9.88,North America
Retail,Large,"['Digital Twins', 'ERP', 'IoT']",2015,19.98,8.96,No,10.02,Middle East
Manufacturing,Medium,['AI'],2020,5.34,11.39,No,23.36,North America
Transportation,Medium,"['IoT', 'ERP', 'Cloud Computing', 'Blockchain']",2015,27.02,23.82,Yes,13.28,Asia-Pacific
Transportation,Medium,"['ERP', 'CRM', 'AI']",2023,21.34,13.08,No,29.34,North America
Retail,Large,['Big Data Analytics'],2017,13.67,20.6,Yes,17.51,North America
Retail,Large,"['Cloud Computing', 'ERP', 'AI']",2022,29.72,15.12,No,5.64,Africa
Healthcare,Small,['Blockchain'],2020,24.78,22.59,No,21.38,Asia-Pacific
Manufacturing,Large,"['Digital Twins', 'ERP', 'Big Data Analytics']",2018,6.61,20.34,Yes,6.32,Asia-Pacific
Manufacturing,Large,"['ERP', 'AI', 'Digital Twins', 'Blockchain']",2019,24.04,19.45,Yes,25.14,Middle East
Healthcare,Medium,['CRM'],2022,27.84,23.65,Yes,11.83,Asia-Pacific
Education,Small,['Blockchain'],2021,27.1,17.02,Yes,18.22,North America
Education,Medium,['CRM'],2016,23.84,7.97,No,15.92,Middle East
Finance,Small,"['Cloud Computing', 'IoT', 'ERP', 'CRM']",2018,27.99,5.05,Yes,34.68,South America
Healthcare,Large,"['Blockchain', 'Digital Twins']",2016,19.59,20.36,Yes,28.05,South America
Transportation,Large,['Digital Twins'],2015,18.1,6.83,Yes,25.18,South America
Education,Small,['Cloud Computing'],2019,27.27,24.78,No,15.21,Asia-Pacific
Manufacturing,Small,"['ERP', 'AI']",2020,10.14,19.42,Yes,19.95,South America
Technology,Large,"['Big Data Analytics', 'Cloud Computing', 'IoT']",2015,10.73,8.69,Yes,16.12,Europe
Finance,Medium,"['Big Data Analytics', 'CRM', 'Digital Twins']",2021,12.71,20.2,Yes,29.53,Africa
Retail,Medium,"['IoT', 'CRM']",2020,8.53,19.28,Yes,24.67,North America
Retail,Medium,"['ERP', 'Cloud Computing']",2015,5.24,13.32,Yes,7.03,Asia-Pacific
Retail,Large,"['Digital Twins', 'CRM']",2017,9.79,20.17,No,33.09,Middle East
Healthcare,Small,['Digital Twins'],2018,7.49,13.8,No,31.06,Africa
Healthcare,Large,"['Digital Twins', 'Big Data Analytics', 'Blockchain', 'ERP']",2020,9.28,8.48,Yes,7.16,North America
Education,Medium,['Cloud Computing'],2016,16.2,6.73,No,19.42,Asia-Pacific
Transportation,Small,"['Blockchain', 'AI', 'Digital Twins', 'ERP']",2017,20.34,14.11,Yes,24.42,Middle East
Finance,Medium,"['Big Data Analytics', 'CRM']",2016,16.41,19.99,No,9.73,Asia-Pacific
Technology,Small,"['ERP', 'Digital Twins', 'Cloud Computing']",2019,18.34,14.29,No,10.72,South America
Healthcare,Large,"['Cloud Computing', 'AI', 'CRM', 'Big Data Analytics']",2015,14.63,18.44,No,17.09,Asia-Pacific
Healthcare,Medium,"['CRM', 'AI', 'ERP', 'Blockchain']",2023,26.52,15.92,Yes,8.75,Asia-Pacific
Retail,Medium,"['IoT', 'Digital Twins']",2020,23.97,10.42,Yes,12.44,Asia-Pacific
Manufacturing,Large,"['CRM', 'Blockchain', 'Digital Twins']",2021,12.49,8.51,No,7.31,South America
Education,Medium,"['CRM', 'Blockchain']",2022,19.62,8.68,No,13.48,Africa
Energy,Medium,"['IoT', 'Blockchain']",2022,23.87,14.22,Yes,6.98,North America
Education,Small,"['Cloud Computing', 'CRM', 'AI']",2020,22.54,12.74,No,19.64,Africa
Finance,Small,"['IoT', 'ERP']",2020,28.27,10.68,Yes,15.38,Europe
Transportation,Small,"['AI', 'Digital Twins', 'Cloud Computing', 'CRM']",2020,24.97,11.64,No,28.13,Africa
Energy,Medium,['IoT'],2019,19.23,6.88,No,22.31,Asia-Pacific
Energy,Medium,"['Big Data Analytics', 'AI']",2018,10.38,16.02,Yes,30.91,North America
Retail,Small,"['Big Data Analytics', 'ERP', 'CRM']",2021,27.45,19.06,Yes,10.57,Middle East
Energy,Large,['Blockchain'],2017,27.04,14.35,Yes,21.45,Africa
Education,Medium,"['Cloud Computing', 'AI', 'CRM', 'Blockchain']",2022,9.82,21.17,No,5.07,Middle East
Transportation,Large,"['Cloud Computing', 'CRM', 'Blockchain', 'IoT']",2021,8.72,14.24,No,34.07,North America
Finance,Small,['IoT'],2019,15.66,6.16,Yes,26.12,Africa
Energy,Small,['ERP'],2018,20.05,9.07,No,5.74,North America
Education,Medium,"['Cloud Computing', 'Blockchain', 'Digital Twins']",2022,9.45,13.19,No,10.61,North America
Retail,Large,"['Blockchain', 'Digital Twins']",2018,21.91,16.15,No,21.66,Africa
Healthcare,Small,['Big Data Analytics'],2021,8.53,7.7,Yes,30.69,Europe
Energy,Small,"['Digital Twins', 'ERP']",2015,27.46,11.66,Yes,7.65,Europe
Retail,Large,['Big Data Analytics'],2022,10.78,20.73,Yes,15.45,Asia-Pacific
Healthcare,Medium,"['Big Data Analytics', 'ERP']",2021,14.49,5.03,No,32.18,South America
Technology,Medium,"['ERP', 'Digital Twins']",2022,8.67,10.07,Yes,10.19,Europe
Finance,Large,"['Blockchain', 'AI', 'ERP']",2017,28.07,22.88,Yes,21.52,Europe
Technology,Medium,"['CRM', 'AI', 'Digital Twins']",2021,13.57,22.69,No,20.06,Europe
Energy,Small,['ERP'],2018,29.89,20.01,Yes,14.5,Africa
Technology,Large,['Digital Twins'],2018,11.76,23.56,Yes,15.11,Asia-Pacific
Retail,Small,"['AI', 'Blockchain', 'CRM', 'ERP']",2018,18.97,18.63,Yes,29.13,Europe
Manufacturing,Large,['Big Data Analytics'],2022,7.67,16.23,No,28.98,Middle East
Finance,Large,['Digital Twins'],2018,27.5,13.27,Yes,29.1,North America
Technology,Medium,"['Digital Twins', 'ERP', 'Cloud Computing', 'AI']",2022,9.15,6.7,No,8.1,South America
Finance,Small,"['Blockchain', 'Digital Twins', 'AI']",2015,22.15,24.74,No,9.62,South America
Healthcare,Small,['Digital Twins'],2018,5.32,20.62,Yes,9.99,Middle East
Technology,Medium,"['AI', 'CRM']",2019,6.98,8.81,Yes,6.15,Africa
Technology,Medium,"['CRM', 'Cloud Computing']",2018,22.63,6.27,Yes,28.4,North America
Healthcare,Large,['Big Data Analytics'],2015,26.12,21.18,No,32.19,South America
Healthcare,Large,"['Big Data Analytics', 'CRM', 'AI']",2017,23.08,12.7,No,16.31,Asia-Pacific
Finance,Medium,"['Blockchain', 'CRM', 'IoT']",2021,17.68,6.34,Yes,29.44,Africa
Technology,Large,"['CRM', 'Blockchain', 'Digital Twins', 'Big Data Analytics']",2019,13.66,24.28,No,13.66,Asia-Pacific
Transportation,Medium,['Cloud Computing'],2017,14.28,9.48,No,32.28,South America
Energy,Medium,"['AI', 'Cloud Computing', 'Big Data Analytics']",2020,8.72,8.24,No,22.33,North America
Transportation,Small,['AI'],2018,23.95,13.09,Yes,32.61,North America
Technology,Small,['IoT'],2023,26.81,6.56,Yes,7.44,North America
Technology,Large,"['Big Data Analytics', 'CRM']",2019,7.61,18.19,No,34.33,South America
Energy,Medium,"['CRM', 'Big Data Analytics', 'Blockchain', 'AI']",2017,28.19,15.66,Yes,31.94,South America
Retail,Medium,"['AI', 'CRM']",2018,11.16,13.64,Yes,27.53,South America
Finance,Small,"['IoT', 'Cloud Computing']",2023,29.96,5.59,Yes,18.75,South America
Retail,Small,"['ERP', 'AI', 'Cloud Computing']",2021,23.57,14.67,No,28.76,South America
Healthcare,Small,['AI'],2018,28.22,15.15,Yes,21.6,North America
Healthcare,Small,['AI'],2020,6.56,24.65,No,26.4,Europe
Transportation,Medium,['ERP'],2017,10.21,20.78,No,17.73,Europe
Retail,Small,"['ERP', 'IoT', 'Blockchain']",2023,29.27,9.45,No,17.53,Asia-Pacific
Retail,Small,"['Big Data Analytics', 'IoT', 'Digital Twins']",2019,8.85,24.76,Yes,16.53,Middle East
Healthcare,Medium,"['Cloud Computing', 'Big Data Analytics', 'AI', 'Blockchain']",2015,17.88,18.79,Yes,13.21,Asia-Pacific
Healthcare,Small,"['Cloud Computing', 'ERP']",2020,24.93,23.65,Yes,15.56,Africa
Technology,Medium,"['ERP', 'Blockchain', 'AI']",2019,18.63,7.09,Yes,6.99,North America
Retail,Large,"['AI', 'IoT', 'ERP', 'Digital Twins']",2021,20.21,7,Yes,16.39,Europe
Retail,Medium,['AI'],2015,28.57,23.31,No,11.65,Asia-Pacific
Transportation,Large,"['Cloud Computing', 'IoT', 'CRM']",2021,7.57,20.9,No,21.57,Middle East
Healthcare,Small,['ERP'],2015,29.72,7.8,No,21.34,North America
Education,Medium,"['CRM', 'Blockchain', 'Big Data Analytics']",2021,13.26,9.51,Yes,28.11,North America
Transportation,Small,['IoT'],2020,15.51,12.43,Yes,8.28,Asia-Pacific
Education,Medium,"['Big Data Analytics', 'AI']",2019,10.46,18.19,No,34.28,Europe
Transportation,Medium,"['Big Data Analytics', 'ERP', 'CRM']",2015,12.23,7.25,No,23.3,Africa
Energy,Medium,"['Big Data Analytics', 'CRM', 'Cloud Computing', 'AI']",2022,14.75,19.7,No,26.45,Asia-Pacific
Transportation,Large,['ERP'],2018,17.8,21.34,No,29.97,South America
Retail,Medium,['Cloud Computing'],2021,13.43,5.13,No,25.56,South America
Transportation,Large,"['ERP', 'Big Data Analytics', 'IoT']",2019,21.13,19.49,No,7.23,Africa
Manufacturing,Large,"['CRM', 'Big Data Analytics']",2015,6.81,24.56,No,26.1,Africa
Technology,Small,"['ERP', 'AI', 'IoT']",2018,18.23,14.52,No,7.46,Middle East
Energy,Large,"['Digital Twins', 'ERP', 'CRM']",2019,10.37,21.67,No,21.44,Africa
Healthcare,Medium,"['Digital Twins', 'IoT']",2022,25.72,5.3,No,9.96,Africa
Transportation,Medium,"['CRM', 'Blockchain']",2021,13.99,16.04,Yes,11.51,Asia-Pacific
Technology,Small,['CRM'],2016,8.53,19.32,Yes,19.39,North America
Education,Small,['ERP'],2019,12.64,5.54,Yes,34.52,Africa
Education,Medium,"['CRM', 'AI', 'IoT']",2021,28.95,8.52,Yes,11.77,Africa
Technology,Large,['Blockchain'],2022,23.5,22.5,Yes,18.25,Africa
Technology,Small,"['IoT', 'Cloud Computing', 'ERP']",2020,5.48,17.06,No,5.67,North America
Transportation,Small,"['IoT', 'Cloud Computing']",2017,7.04,6.5,No,27.6,Europe
Manufacturing,Large,"['Digital Twins', 'Blockchain', 'Big Data Analytics']",2016,18.52,18.5,Yes,18.44,Middle East
Education,Medium,"['IoT', 'AI', 'Big Data Analytics', 'Digital Twins']",2019,13.29,13.8,No,11.22,South America
Education,Medium,"['Digital Twins', 'Cloud Computing']",2019,19.22,16.67,Yes,28.46,Africa
Transportation,Medium,['Big Data Analytics'],2017,7.55,10.1,Yes,11.21,Africa
Education,Medium,['Blockchain'],2023,10.73,24.02,No,10.78,North America
Retail,Medium,"['AI', 'ERP', 'Cloud Computing', 'CRM']",2017,18.11,23.79,No,9.08,Middle East
Transportation,Large,"['Big Data Analytics', 'ERP', 'Cloud Computing']",2020,8.81,11.49,Yes,21.36,Middle East
Technology,Small,['AI'],2023,24,18.43,Yes,29.21,North America
Retail,Large,"['Blockchain', 'Big Data Analytics']",2019,23.64,9.27,Yes,12.67,Middle East
Finance,Large,"['Blockchain', 'CRM', 'IoT', 'ERP']",2021,18.39,5.95,Yes,12.11,North America
Education,Large,"['Cloud Computing', 'AI', 'Digital Twins', 'CRM']",2017,17.23,12.74,Yes,9.94,North America
Technology,Large,"['CRM', 'AI', 'IoT', 'Cloud Computing']",2023,29.9,24.59,No,32.86,North America
Manufacturing,Medium,['ERP'],2016,18.44,7.48,Yes,11.26,Asia-Pacific
Energy,Small,"['Blockchain', 'Digital Twins', 'Cloud Computing']",2017,11.2,7.58,Yes,32.46,South America
Retail,Large,"['Blockchain', 'Big Data Analytics', 'Cloud Computing']",2017,12.13,5.64,Yes,29.28,Africa
Finance,Medium,"['Big Data Analytics', 'Blockchain']",2018,16.85,10.42,Yes,5.8,South America
Finance,Large,"['AI', 'Big Data Analytics', 'Cloud Computing']",2017,22.18,22.4,Yes,6.38,North America
Finance,Small,"['Blockchain', 'IoT', 'Digital Twins', 'ERP']",2017,18.83,13.03,No,22.9,Africa
Healthcare,Small,"['AI', 'ERP']",2016,28.64,18.78,No,13.68,Asia-Pacific
Energy,Large,"['CRM', 'IoT', 'Digital Twins', 'Big Data Analytics']",2018,25.16,7.89,No,26.12,North America
Manufacturing,Medium,"['AI', 'Cloud Computing']",2018,9.86,13.6,No,30.02,South America
Retail,Medium,"['IoT', 'Big Data Analytics', 'Digital Twins', 'CRM']",2023,8.1,21.03,Yes,16.9,North America
Energy,Large,"['ERP', 'Blockchain', 'Digital Twins']",2015,16.1,10.71,Yes,31.16,Europe
Healthcare,Large,"['Big Data Analytics', 'CRM', 'Blockchain', 'ERP']",2023,28.16,18.08,No,33.11,Europe
Energy,Small,['ERP'],2020,15.7,20.01,Yes,21.87,Middle East
Manufacturing,Large,"['Cloud Computing', 'ERP', 'CRM']",2015,17.52,22.07,No,17.05,Asia-Pacific
Healthcare,Small,"['Digital Twins', 'IoT', 'CRM', 'Cloud Computing']",2017,22.4,15.83,Yes,17.95,Africa
Finance,Small,"['Digital Twins', 'IoT']",2019,24.46,15.57,No,15.49,Middle East
Energy,Medium,['Big Data Analytics'],2020,23.63,21.81,Yes,34.17,Europe
Retail,Medium,"['Digital Twins', 'IoT', 'Big Data Analytics']",2023,26.61,12.67,No,33.43,South America
Education,Small,"['CRM', 'AI']",2020,12.57,12.54,No,20.87,Middle East
Finance,Medium,"['Big Data Analytics', 'Cloud Computing', 'ERP', 'Blockchain']",2017,20.25,20.45,Yes,13.83,Middle East
Manufacturing,Large,"['Big Data Analytics', 'ERP', 'AI', 'Digital Twins']",2020,21.31,13.64,Yes,28.07,Middle East
Transportation,Medium,"['CRM', 'Cloud Computing', 'Blockchain']",2017,28.03,7.16,Yes,7.37,Middle East
Education,Large,['Big Data Analytics'],2015,25.38,12.31,Yes,14.9,Middle East
Retail,Medium,"['CRM', 'Cloud Computing', 'AI']",2018,25.49,14.72,No,11.22,South America
Retail,Large,"['CRM', 'Cloud Computing', 'ERP']",2023,28.2,14.25,No,13.54,South America
Finance,Large,"['AI', 'Digital Twins', 'CRM']",2020,28.6,8.31,No,9.34,Asia-Pacific
Transportation,Large,"['Cloud Computing', 'CRM', 'ERP', 'AI']",2020,9.2,18.89,Yes,13.09,Europe
Technology,Large,"['AI', 'CRM']",2020,25.17,9,No,10.66,Africa
Transportation,Large,['Blockchain'],2018,11.14,20.24,Yes,23.67,North America
Retail,Small,"['Cloud Computing', 'Big Data Analytics', 'AI', 'IoT']",2019,10.74,8.57,No,21.57,Europe
Technology,Small,"['Big Data Analytics', 'Cloud Computing']",2015,23.9,9.14,No,22.92,North America
Technology,Small,['AI'],2023,20.89,16.35,No,31.24,Africa
Manufacturing,Small,['Blockchain'],2021,6.35,6.04,No,22.25,Asia-Pacific
Transportation,Medium,"['ERP', 'Big Data Analytics']",2016,8.72,8.56,No,6.07,North America
Healthcare,Medium,"['AI', 'ERP', 'Big Data Analytics', 'Digital Twins']",2019,22.55,24.43,No,20.46,Asia-Pacific
Finance,Medium,['Digital Twins'],2020,15.68,18.67,No,32.61,Middle East
Transportation,Large,['ERP'],2015,12.83,14.29,No,14.85,Africa
Education,Medium,"['Digital Twins', 'ERP']",2020,28.73,9.77,No,16.91,South America
Retail,Medium,"['IoT', 'ERP']",2022,29.27,22.55,No,14.29,Europe
Technology,Small,"['Cloud Computing', 'IoT', 'Digital Twins', 'Big Data Analytics']",2021,25.65,7.43,No,14.03,North America
Transportation,Small,"['AI', 'Big Data Analytics']",2022,7.68,22.02,Yes,34.69,Asia-Pacific
Retail,Small,"['Digital Twins', 'CRM', 'ERP']",2023,27.75,23.77,Yes,15.75,Africa
Finance,Small,['Cloud Computing'],2023,7.09,6.16,Yes,23.94,Middle East
Healthcare,Large,"['Digital Twins', 'ERP', 'IoT']",2017,25.36,7.93,Yes,17.76,Europe
Energy,Large,"['Digital Twins', 'ERP', 'IoT', 'Cloud Computing']",2017,7.4,10.38,No,28.16,Africa
Retail,Small,"['Cloud Computing', 'IoT']",2019,15.15,21.83,No,21.01,South America
Technology,Small,"['IoT', 'ERP']",2017,29.07,13.87,Yes,13.43,Asia-Pacific
Energy,Small,"['CRM', 'IoT']",2023,21.85,18.44,Yes,10.7,South America
Finance,Small,"['Big Data Analytics', 'Digital Twins', 'CRM', 'IoT']",2015,20.86,17.72,Yes,8.44,Africa
Education,Medium,"['Digital Twins', 'Blockchain', 'ERP']",2020,20.98,21.91,No,7.22,Africa
Manufacturing,Medium,"['IoT', 'Cloud Computing']",2020,21.57,17.37,No,25.84,Asia-Pacific
Finance,Medium,"['Big Data Analytics', 'Cloud Computing']",2022,28.77,15.24,No,29.71,Asia-Pacific
Healthcare,Large,"['Cloud Computing', 'IoT']",2015,8.5,6.56,No,13.44,Asia-Pacific
Technology,Medium,['IoT'],2023,29.1,10.19,No,23.35,North America
Healthcare,Small,['IoT'],2015,8.34,12.01,No,31.22,Asia-Pacific
Technology,Small,"['Blockchain', 'Digital Twins', 'AI', 'IoT']",2020,7.18,22.34,No,34.85,North America
Healthcare,Small,"['Big Data Analytics', 'AI']",2023,9.82,10.09,Yes,16.13,Africa
Energy,Large,['Cloud Computing'],2018,20.3,20.08,Yes,24.02,Europe
Technology,Small,"['AI', 'Big Data Analytics', 'Cloud Computing']",2017,28.41,20.63,No,27.21,North America
Healthcare,Small,['CRM'],2020,6.89,6.3,No,21.94,South America
Transportation,Large,['CRM'],2016,8.85,11.12,No,12.59,North America
Finance,Medium,"['AI', 'CRM']",2016,11.87,15.82,No,32.62,Asia-Pacific
Education,Small,"['ERP', 'Digital Twins']",2017,23.64,6.04,No,16.09,South America
Education,Large,['IoT'],2016,27.19,11.17,No,20.67,North America
Manufacturing,Medium,"['Cloud Computing', 'ERP', 'Blockchain', 'Digital Twins']",2023,10.7,11.6,No,30.74,Africa
Healthcare,Medium,"['AI', 'CRM', 'Big Data Analytics', 'Blockchain']",2015,29.81,17.8,Yes,11.98,Africa
Finance,Medium,"['Big Data Analytics', 'Blockchain']",2023,13.97,10.29,No,18.96,Europe
Technology,Large,"['Cloud Computing', 'IoT', 'ERP']",2022,28.85,17.57,No,33.79,Africa
Education,Small,"['IoT', 'Big Data Analytics', 'AI']",2020,17.73,11.65,No,5.93,North America
Transportation,Small,"['Blockchain', 'AI', 'CRM', 'Cloud Computing']",2017,22.69,17.88,No,5.36,Europe
Technology,Medium,"['IoT', 'CRM', 'Big Data Analytics', 'AI']",2021,29.45,22.42,Yes,15.33,Asia-Pacific
Manufacturing,Small,"['Cloud Computing', 'AI', 'Digital Twins', 'ERP']",2018,21.19,24.09,No,20.17,Africa
Technology,Small,['Digital Twins'],2022,19.96,23.57,Yes,33.61,South America
Manufacturing,Small,['Blockchain'],2016,15.12,14.78,No,21.31,Middle East
Finance,Small,"['CRM', 'ERP', 'Blockchain']",2016,22.06,18.58,No,7.18,Africa
Retail,Large,"['Blockchain', 'Cloud Computing', 'CRM']",2020,8.13,19.46,Yes,19.86,South America
Transportation,Large,"['Big Data Analytics', 'ERP', 'AI']",2016,8.79,13.59,No,10.71,North America
Retail,Large,"['Digital Twins', 'CRM']",2019,26.79,15.46,Yes,13.7,South America
Manufacturing,Small,"['Big Data Analytics', 'ERP', 'IoT', 'Blockchain']",2020,11.31,24.96,Yes,16.68,South America
